pin,slack
Dout_Z[0]:ALn,25027
Dout_Z[0]:CLK,16814
Dout_Z[0]:D,25336
Dout_Z[0]:EN,24085
Dout_Z[0]:Q,16814
count_obuf[7]/U0/U_IOOUTFF:A,
count_obuf[7]/U0/U_IOOUTFF:Y,
U1/data_out_4[5]:A,11002
U1/data_out_4[5]:B,23045
U1/data_out_4[5]:Y,11002
count_Z[3]:ALn,11693
count_Z[3]:CLK,37357
count_Z[3]:D,37368
count_Z[3]:EN,13306
count_Z[3]:Q,37357
U0/data_out[1]:ALn,11693
U0/data_out[1]:CLK,11002
U0/data_out[1]:D,11380
U0/data_out[1]:EN,37334
U0/data_out[1]:Q,11002
U1/data_out[1]:ALn,25027
U1/data_out[1]:CLK,25336
U1/data_out[1]:D,11002
U1/data_out[1]:EN,24104
U1/data_out[1]:Q,25336
U0/state[0]:ALn,11693
U0/state[0]:CLK,37437
U0/state[0]:D,12306
U0/state[0]:Q,37437
req_sync:ALn,25027
req_sync:CLK,25336
req_sync:D,12003
req_sync:Q,25336
Dout_obuf[1]/U0/U_IOPAD:D,16814
Dout_obuf[1]/U0/U_IOPAD:E,
Dout_obuf[1]/U0/U_IOPAD:PAD,16814
U0/data_out_5[7]:A,11380
U0/data_out_5[7]:B,37554
U0/data_out_5[7]:Y,11380
count_cry[4]:B,37376
count_cry[4]:FCI,37292
count_cry[4]:FCO,37292
count_cry[4]:S,37349
count_obuf[2]/U0/U_IOENFF:A,
count_obuf[2]/U0/U_IOENFF:Y,
Dout_Z[5]:ALn,25027
Dout_Z[5]:CLK,16814
Dout_Z[5]:D,25336
Dout_Z[5]:EN,24085
Dout_Z[5]:Q,16814
Dout_obuf[0]/U0/U_IOPAD:D,16814
Dout_obuf[0]/U0/U_IOPAD:E,
Dout_obuf[0]/U0/U_IOPAD:PAD,16814
count_obuf[0]/U0/U_IOPAD:D,
count_obuf[0]/U0/U_IOPAD:E,
count_obuf[0]/U0/U_IOPAD:PAD,
Dout4:A,25570
Dout4:B,24085
Dout4:Y,24085
count_obuf[5]/U0/U_IOOUTFF:A,
count_obuf[5]/U0/U_IOOUTFF:Y,
count_obuf[3]/U0/U_IOOUTFF:A,
count_obuf[3]/U0/U_IOOUTFF:Y,
Dout_obuf[7]/U0/U_IOPAD:D,16814
Dout_obuf[7]/U0/U_IOPAD:E,
Dout_obuf[7]/U0/U_IOPAD:PAD,16814
Dout_obuf[5]/U0/U_IOPAD:D,16814
Dout_obuf[5]/U0/U_IOPAD:E,
Dout_obuf[5]/U0/U_IOPAD:PAD,16814
U1/transfer_enable_RNO:A,24201
U1/transfer_enable_RNO:B,24159
U1/transfer_enable_RNO:C,24062
U1/transfer_enable_RNO:Y,24062
count_obuf[2]/U0/U_IOPAD:D,
count_obuf[2]/U0/U_IOPAD:E,
count_obuf[2]/U0/U_IOPAD:PAD,
Dout_obuf[1]/U0/U_IOOUTFF:A,16814
Dout_obuf[1]/U0/U_IOOUTFF:Y,16814
U0/data_out[6]:ALn,11693
U0/data_out[6]:CLK,11002
U0/data_out[6]:D,11380
U0/data_out[6]:EN,37334
U0/data_out[6]:Q,11002
Dout_obuf[4]/U0/U_IOPAD:D,16814
Dout_obuf[4]/U0/U_IOPAD:E,
Dout_obuf[4]/U0/U_IOPAD:PAD,16814
U1/data_out[6]:ALn,25027
U1/data_out[6]:CLK,25336
U1/data_out[6]:D,11002
U1/data_out[6]:EN,24104
U1/data_out[6]:Q,25336
Dout_obuf[0]/U0/U_IOENFF:A,
Dout_obuf[0]/U0/U_IOENFF:Y,
U0/data_out_5[3]:A,11380
U0/data_out_5[3]:B,37554
U0/data_out_5[3]:Y,11380
count_Z[7]:ALn,11693
count_Z[7]:CLK,37396
count_Z[7]:D,37292
count_Z[7]:EN,13306
count_Z[7]:Q,37396
count_obuf[4]/U0/U_IOOUTFF:A,
count_obuf[4]/U0/U_IOOUTFF:Y,
count_obuf[6]/U0/U_IOOUTFF:A,
count_obuf[6]/U0/U_IOOUTFF:Y,
Dout_Z[2]:ALn,25027
Dout_Z[2]:CLK,16814
Dout_Z[2]:D,25336
Dout_Z[2]:EN,24085
Dout_Z[2]:Q,16814
flash_freeze_inst/INST_FLASH_FREEZE_IP:FF_TO_START,
count_obuf[3]/U0/U_IOPAD:D,
count_obuf[3]/U0/U_IOPAD:E,
count_obuf[3]/U0/U_IOPAD:PAD,
count_cry[3]:B,37357
count_cry[3]:FCI,37292
count_cry[3]:FCO,37292
count_cry[3]:S,37368
U1/state_s0_0_a4:A,24146
U1/state_s0_0_a4:B,24104
U1/state_s0_0_a4:Y,24104
Dout_obuf[6]/U0/U_IOPAD:D,16814
Dout_obuf[6]/U0/U_IOPAD:E,
Dout_obuf[6]/U0/U_IOPAD:PAD,16814
count_Z[0]:ALn,11693
count_Z[0]:CLK,37292
count_Z[0]:D,37608
count_Z[0]:EN,13306
count_Z[0]:Q,37292
Dout_Z[4]:ALn,25027
Dout_Z[4]:CLK,16814
Dout_Z[4]:D,25336
Dout_Z[4]:EN,24085
Dout_Z[4]:Q,16814
req_sink:ALn,25027
req_sink:CLK,23045
req_sink:D,25336
req_sink:Q,23045
reset_ibuf_RNI8255/U0_RGB1:An,11693
reset_ibuf_RNI8255/U0_RGB1:YL,11693
Dout_obuf[3]/U0/U_IOPAD:D,16814
Dout_obuf[3]/U0/U_IOPAD:E,
Dout_obuf[3]/U0/U_IOPAD:PAD,16814
count_cry[1]:B,37319
count_cry[1]:FCI,37292
count_cry[1]:FCO,37292
count_cry[1]:S,37414
U0/data_out[7]:ALn,11693
U0/data_out[7]:CLK,11002
U0/data_out[7]:D,11380
U0/data_out[7]:EN,37334
U0/data_out[7]:Q,11002
U1/data_out[7]:ALn,25027
U1/data_out[7]:CLK,25336
U1/data_out[7]:D,11002
U1/data_out[7]:EN,24104
U1/data_out[7]:Q,25336
count[7],
count[6],
count[5],
count[4],
count[3],
count[2],
count[1],
count[0],
Dout[7],16814
Dout[6],16814
Dout[5],16814
Dout[4],16814
Dout[3],16814
Dout[2],16814
Dout[1],16814
Dout[0],16814
clkA,
clkB,
reset,11693
enable,11380
